segment,bin,golden_i,golden_q
0,314,-19,11
0,315,-19,10
0,316,-20,10
0,317,-20,9
0,318,-21,9
0,319,-21,8
0,320,-21,7
0,321,-22,7
0,322,-22,6
0,323,-22,5
0,324,-22,5
0,325,-23,4
0,326,-23,3
0,327,-23,3
0,328,-23,2
0,329,-23,1
0,330,-23,1
0,331,-23,0
0,332,-23,-1
0,333,-23,-2
0,334,-23,-2
0,335,-23,-3
0,336,-23,-3
0,337,-23,-4
0,338,-23,-5
0,339,-23,-5
0,340,-22,-6
0,341,-22,-7
0,342,-22,-7
0,343,-22,-8
0,344,-22,-8
0,345,-21,-9
0,346,-21,-10
0,347,-21,-10
0,348,-20,-11
0,349,-20,-11
0,350,-20,-12
0,351,-19,-13
0,352,-19,-13
0,353,-18,-14
0,354,-18,-14
0,355,-17,-15
0,356,-17,-16
0,357,-16,-16
0,358,-16,-17
0,359,-15,-17
0,360,-15,-18
0,361,-15,-18
0,362,-14,-18
0,363,-14,-19
0,364,-13,-19
0,365,-13,-20
0,366,-12,-20
0,367,-12,-21
0,368,-11,-21
0,369,-10,-21
0,370,-10,-22
0,371,-9,-22
0,372,-9,-22
0,373,-8,-23
0,374,-7,-23
0,375,-7,-23
0,376,-6,-23
0,377,-5,-24
0,378,-5,-24
0,379,-4,-24
0,380,-3,-24
0,381,-3,-24
0,382,-2,-25
0,383,-1,-25
0,384,-1,-25
0,385,0,-25
0,386,1,-25
0,387,1,-24
0,388,2,-24
0,389,3,-24
0,390,3,-24
0,391,4,-24
0,392,4,-23
0,393,5,-23
0,394,6,-23
0,395,6,-23
0,396,7,-22
0,397,8,-22
0,398,8,-22
0,399,9,-22
0,400,9,-21
0,401,10,-21
0,402,10,-20
0,403,11,-20
0,404,12,-20
0,405,12,-19
0,406,13,-19
0,407,13,-18
0,408,14,-18
0,409,14,-17
0,410,15,-17
0,411,15,-16
0,412,16,-16
0,413,16,-15
0,414,17,-15
0,415,17,-14
0,416,18,-14
0,417,18,-13
0,418,18,-13
0,419,19,-12
0,420,19,-11
0,421,19,-11
0,422,20,-10
0,423,20,-10
0,424,20,-9
0,425,21,-8
0,426,21,-8
0,427,21,-7
0,428,21,-6
0,429,21,-6
0,430,22,-5
0,431,22,-4
0,432,22,-3
0,433,22,-3
0,434,22,-2
0,435,22,-1
0,436,22,0
0,437,22,0
0,438,22,1
0,439,22,2
0,440,21,2
0,441,21,3
0,442,21,3
0,443,21,4
0,444,21,5
0,445,21,5
0,446,20,6
0,447,20,7
0,448,20,7
0,449,19,8
0,450,19,9
0,451,19,9
0,452,18,10
0,453,18,10
0,454,17,11
0,455,17,12
0,456,17,12
0,457,16,13
0,458,16,13
0,459,15,14
0,460,15,14
0,461,14,15
0,462,14,15
0,463,13,16
0,464,13,16
0,465,12,17
0,466,12,17
0,467,11,18
0,468,11,18
0,469,10,19
0,470,9,19
0,471,9,19
0,472,8,20
0,473,8,20
0,474,7,20
0,475,6,21
0,476,6,21
0,477,5,21
0,478,4,21
0,479,4,22
0,480,3,22
0,481,2,22
0,482,2,22
0,483,1,22
0,484,0,23
0,485,-1,23
0,486,-1,23
0,487,-2,23
0,488,-3,22
0,489,-3,22
0,490,-4,22
0,491,-5,22
0,492,-5,22
0,493,-6,22
0,494,-7,22
0,495,-7,21
0,496,-8,21
0,497,-9,21
0,498,-9,21
0,499,-10,20
0,500,-11,20
0,501,-11,20
0,502,-12,19
0,503,-13,19
0,504,-13,19
0,505,-14,18
0,506,-14,18
0,507,-15,17
0,508,-16,17
0,509,-16,16
0,510,-17,16
0,511,-17,15
0,512,-18,15
0,513,-18,14
0,514,-19,14
0,515,-19,13
0,516,-20,13
0,517,-20,12
0,518,-21,12
0,519,-21,11
0,520,-21,11
0,521,-22,10
0,522,-22,9
0,523,-22,9
0,524,-23,8
0,525,-23,7
0,526,-23,7
0,527,-23,6
0,528,-24,6
0,529,-24,5
0,530,-24,4
0,531,-24,4
0,532,-24,3
0,533,-25,2
0,534,-25,1
0,535,-25,1
0,536,-25,0
0,537,-25,-1
0,538,-25,-2
0,539,-25,-2
0,540,-25,-3
0,541,-25,-3
0,542,-24,-4
0,543,-24,-5
0,544,-24,-5
0,545,-24,-6
0,546,-24,-7
0,547,-23,-7
0,548,-23,-8
0,549,-23,-9
0,550,-23,-9
0,551,-22,-10
0,552,-22,-11
0,553,-22,-11
0,554,-21,-12
0,555,-21,-12
0,556,-20,-13
0,557,-20,-13
0,558,-19,-14
0,559,-19,-15
0,560,-18,-15
0,561,-18,-16
0,562,-17,-16
0,563,-17,-17
0,564,-16,-17
0,565,-16,-18
0,566,-15,-18
0,567,-15,-19
0,568,-15,-19
0,569,-14,-19
0,570,-13,-20
0,571,-13,-20
0,572,-12,-21
0,573,-12,-21
0,574,-11,-22
0,575,-11,-22
0,576,-10,-22
0,577,-9,-23
0,578,-9,-23
0,579,-8,-23
0,580,-7,-23
0,581,-7,-24
0,582,-6,-24
0,583,-5,-24
0,584,-4,-24
0,585,-4,-24
0,586,-3,-24
0,587,-2,-24
0,588,-1,-24
0,589,-1,-24
0,590,0,-24
0,591,0,-24
0,592,1,-24
0,593,2,-24
0,594,2,-24
0,595,3,-24
0,596,4,-24
0,597,4,-23
0,598,5,-23
0,599,6,-23
0,600,6,-23
0,601,7,-22
0,602,8,-22
0,603,8,-22
0,604,9,-21
0,605,10,-21
0,606,10,-21
0,607,11,-20
0,608,11,-20
0,609,12,-19
0,610,13,-19
0,611,13,-18
0,612,14,-18
0,613,14,-17
0,614,15,-17
0,615,15,-16
0,616,16,-16
0,617,16,-15
0,618,17,-15
0,619,17,-15
0,620,18,-14
0,621,18,-13
0,622,19,-13
0,623,19,-12
0,624,19,-12
0,625,20,-11
0,626,20,-10
0,627,20,-10
0,628,21,-9
0,629,21,-9
0,630,21,-8
0,631,21,-7
0,632,22,-6
0,633,22,-6
0,634,22,-5
0,635,22,-4
0,636,22,-4
0,637,23,-3
0,638,23,-2
0,639,23,-1
0,640,23,-1
0,641,23,0
0,642,23,1
0,643,23,1
0,644,22,2
0,645,22,3
0,646,22,3
0,647,22,4
0,648,22,5
0,649,22,5
0,650,21,6
0,651,21,7
0,652,21,7
0,653,20,8
0,654,20,8
0,655,20,9
0,656,19,10
0,657,19,10
0,658,19,11
0,659,18,11
0,660,18,12
0,661,17,13
0,662,17,13
0,663,16,14
0,664,16,14
0,665,15,15
0,666,15,15
0,667,14,16
0,668,14,16
0,669,13,17
0,670,13,17
0,671,12,18
0,672,12,18
0,673,11,19
0,674,11,19
0,675,10,19
0,676,9,20
0,677,9,20
0,678,8,20
0,679,8,21
0,680,7,21
0,681,6,21
0,682,6,21
0,683,5,22
0,684,4,22
0,685,4,22
0,686,3,22
0,687,2,22
0,688,1,22
0,689,1,23
0,690,0,23
0,691,-1,23
0,692,-2,23
0,693,-2,22
0,694,-3,22
0,695,-4,22
0,696,-4,22
0,697,-5,22
0,698,-6,22
0,699,-6,22
0,700,-7,21
0,701,-8,21
0,702,-8,21
0,703,-9,21
0,704,-10,20
0,705,-10,20
0,706,-11,20
0,707,-11,19
0,708,-12,19
0,709,-13,18
0,710,-13,18
0,711,-14,18
0,712,-14,17
0,713,-15,17
0,714,-16,16
0,715,-16,16
0,716,-17,15
0,717,-17,15
0,718,-18,14
0,719,-18,14
0,720,-18,13
0,721,-19,13
0,722,-19,12
0,723,-20,12
0,724,-20,11
0,725,-21,11
0,726,-21,10
0,727,-21,9
0,728,-22,9
0,729,-22,8
0,730,-22,8
0,731,-23,7
0,732,-23,6
0,733,-23,6
0,734,-24,5
0,735,-24,4
0,736,-24,4
0,737,-24,3
0,738,-24,2
0,739,-24,1
0,740,-25,1
0,741,-25,0
0,742,-25,-1
0,743,-25,-1
0,744,-25,-2
0,745,-24,-3
0,746,-24,-3
0,747,-24,-4
0,748,-24,-4
0,749,-24,-5
0,750,-24,-6
0,751,-24,-6
0,752,-23,-7
0,753,-23,-8
0,754,-23,-8
0,755,-23,-9
0,756,-22,-10
0,757,-22,-10
0,758,-22,-11
0,759,-21,-12
0,760,-21,-12
0,761,-20,-13
0,762,-20,-13
0,763,-20,-14
0,764,-19,-15
0,765,-19,-15
0,766,-18,-16
0,767,-18,-16
0,768,-17,-17
0,769,-17,-17
0,770,-16,-18
0,771,-16,-18
0,772,-15,-19
0,773,-15,-19
0,774,-14,-20
0,775,-14,-20
0,776,-13,-21
0,777,-12,-21
0,778,-12,-21
0,779,-11,-22
0,780,-11,-22
0,781,-10,-22
0,782,-9,-23
0,783,-9,-23
0,784,-8,-23
0,785,-7,-23
0,786,-7,-23
0,787,-6,-24
0,788,-5,-24
0,789,-5,-24
0,790,-4,-24
0,791,-3,-24
0,792,-2,-24
0,793,-2,-25
0,794,-1,-24
0,795,0,-24
0,796,0,-24
0,797,1,-24
0,798,2,-24
0,799,2,-24
