cycle,range_bin,doppler_bin,output_hex
1454535000,6,15,003b0004
1456415000,6,16,fe8bfeff
1456425000,6,17,0219ffdd
1456435000,6,18,fdf80150
1456445000,6,19,00b6000b
1456455000,6,20,fe30fd26
1456465000,6,21,02a10258
1456475000,6,22,feecfe65
1456485000,6,23,02390144
1456495000,6,24,fc55fde1
1456505000,6,25,032f03d5
1456515000,6,26,fc48fdc2
1456525000,6,27,0290005d
1456535000,6,28,ff74ff4a
1456545000,6,29,ffe7ff1a
1456555000,6,30,ffd000c1
1456565000,6,31,01610158
1458445000,7,0,0179fff1
1458455000,7,1,fde9ffe2
1458465000,7,2,006f0072
1458475000,7,3,0241ff48
1458485000,7,4,fdac005f
1458495000,7,5,ffe801a3
1458505000,7,6,013ffd3a
1458515000,7,7,fec5000f
1458525000,7,8,027702b1
1458535000,7,9,fb89fe18
1458545000,7,10,036b0092
1458555000,7,11,ff1b00b6
1458565000,7,12,00d4feb7
1458575000,7,13,feda00a7
1458585000,7,14,012f0022
1458595000,7,15,fef3ff97
1460475000,7,16,00d30083
1460485000,7,17,ff52fe39
1460495000,7,18,ffb6ff5a
1460505000,7,19,007401d9
1460515000,7,20,01ddfe74
1460525000,7,21,fe990180
1460535000,7,22,0034ff07
1460545000,7,23,00d40177
1460555000,7,24,fe19fd4d
1460565000,7,25,025a01c7
1460575000,7,26,fd90fff8
1460585000,7,27,0036ff23
1460595000,7,28,019bfeb0
1460605000,7,29,ffdb021c
1460615000,7,30,0102ffd3
1460625000,7,31,fe520031
1462505000,8,0,0161ff7f
1462515000,8,1,fed300f3
1462525000,8,2,fe22ff6d
1462535000,8,3,03080053
1462545000,8,4,fe69ffed
1462555000,8,5,ff550115
1462565000,8,6,00d8ffeb
1462575000,8,7,0033fd3b
1462585000,8,8,00b70399
1462595000,8,9,fe73fe9b
1462605000,8,10,0088ffc9
1462615000,8,11,008c00bd
1462625000,8,12,fff3fea7
1462635000,8,13,ffe1005d
1462645000,8,14,fffa01fb
1462655000,8,15,ffcdfded
1464535000,8,16,fe760025
1464545000,8,17,fffcff22
1464555000,8,18,ffe20186
1464565000,8,19,01dafe3e
1464575000,8,20,0013002a
1464585000,8,21,fd6fffa6
1464595000,8,22,029c01b0
1464605000,8,23,fe58fee4
1464615000,8,24,0098fe39
1464625000,8,25,008c0456
1464635000,8,26,fec6faf8
1464645000,8,27,01660198
1464655000,8,28,fdf30040
1464665000,8,29,0169ff32
1464675000,8,30,012001d2
1464685000,8,31,ffc0ff3e
1466565000,9,0,fee801ad
1466575000,9,1,ffa6fe2b
1466585000,9,2,fe88018d
1466595000,9,3,0436ff4f
1466605000,9,4,fd4800cf
1466615000,9,5,fecffee9
1466625000,9,6,023a00c0
1466635000,9,7,ff02ff25
1466645000,9,8,01220099
1466655000,9,9,fda20015
1466665000,9,10,01e80071
1466675000,9,11,fe8eff8f
1466685000,9,12,01c6ffb3
1466695000,9,13,000d0103
1466705000,9,14,fe3eff5a
1466715000,9,15,0216fef1
1468595000,9,16,02cc0245
1468605000,9,17,fc36ff18
1468615000,9,18,02390056
1468625000,9,19,004c0016
1468635000,9,20,ff69fdc0
1468645000,9,21,fd8901d6
1468655000,9,22,0412ff9d
1468665000,9,23,fe270074
1468675000,9,24,004afe13
1468685000,9,25,00c801e0
1468695000,9,26,fec7ff78
1468705000,9,27,ff340012
1468715000,9,28,0041fe84
1468725000,9,29,01cdffd2
1468735000,9,30,ffc601f9
1468745000,9,31,fe6dfe54
1470625000,10,0,0162008d
1470635000,10,1,fee40030
1470645000,10,2,008aff9e
1470655000,10,3,ffeafed8
1470665000,10,4,00bd0225
1470675000,10,5,fd87ff61
1470685000,10,6,01d4ff56
1470695000,10,7,ff690043
1470705000,10,8,02b2001b
1470715000,10,9,fb3000e0
1470725000,10,10,0268fe42
1470735000,10,11,01660340
1470745000,10,12,fe8bfbd3
1470755000,10,13,00a10237
1470765000,10,14,ffd60002
1470775000,10,15,ff13ff25
1472655000,10,16,0170ff5b
1472665000,10,17,fec1002c
1472675000,10,18,01be0198
1472685000,10,19,ff53feaf
1472695000,10,20,fed4ff72
1472705000,10,21,010b02a2
1472715000,10,22,ffc3fdb7
1472725000,10,23,ffadffd8
1472735000,10,24,008c00d5
1472745000,10,25,00b10252
1472755000,10,26,fdd4fdc4
1472765000,10,27,012b00e9
1472775000,10,28,fcd4ff2e
1472785000,10,29,03a7fdc0
1472795000,10,30,ffa7025d
1472805000,10,31,fea1ffc0
1474685000,11,0,ff080082
1474695000,11,1,fff5ffff
1474705000,11,2,00380103
1474715000,11,3,ffe6fdf0
1474725000,11,4,01580383
1474735000,11,5,fd3dfd63
1474745000,11,6,0278005e
1474755000,11,7,ff700084
1474765000,11,8,00b6fedc
1474775000,11,9,fdc30169
1474785000,11,10,01a6ff47
1474795000,11,11,ffc600a8
1474805000,11,12,ffdafedf
1474815000,11,13,006b0079
1474825000,11,14,ffda0128
1474835000,11,15,0064fe10
1476715000,11,16,ffcfff82
1476725000,11,17,00190010
1476735000,11,18,007cff3a
1476745000,11,19,ff45015a
1476755000,11,20,ff45fcfb
1476765000,11,21,02880348
1476775000,11,22,fdd5fdd2
1476785000,11,23,012a0137
1476795000,11,24,ff61fe5c
1476805000,11,25,ff8903a8
1476815000,11,26,ff2cfd8e
1476825000,11,27,0117ff52
1476835000,11,28,fc6bff33
1476845000,11,29,031a0020
1476855000,11,30,007bfffa
1476865000,11,31,ff4e010d
